Terminal log file
Date: 2022-09-30 - 오후 3:33:47
-----------------------------------------------
********Header_valid=55557777, lastIndex=8*********** 

============index=0, valid=0x55557777, 2022-09-30 13:54:52, startSec=10000, endSec=10053 ============
2022-09-30 13:54:52, adc1=0.305596, adc3=0.284532, temp=40.420250, hum=51.290974, c1=-3.054515, c3=-2.229355
2022-09-30 13:54:53, adc1=0.305262, adc3=0.284699, temp=40.440399, hum=51.266556, c1=-3.055845, c3=-2.228937
2022-09-30 13:54:54, adc1=0.305095, adc3=0.285201, temp=40.420250, hum=51.290974, c1=-3.056397, c3=-2.227144
2022-09-30 13:54:55, adc1=0.305262, adc3=0.285034, temp=40.420250, hum=51.266556, c1=-3.055694, c3=-2.227561
2022-09-30 13:54:56, adc1=0.305596, adc3=0.284532, temp=40.420250, hum=51.290974, c1=-3.054514, c3=-2.229355
2022-09-30 13:54:57, adc1=0.305764, adc3=0.284365, temp=40.420250, hum=51.290974, c1=-3.053887, c3=-2.229908
2022-09-30 13:54:58, adc1=0.305596, adc3=0.284198, temp=40.440399, hum=51.290974, c1=-3.054667, c3=-2.230731
2022-09-30 13:54:59, adc1=0.305596, adc3=0.284198, temp=40.440399, hum=51.290974, c1=-3.054667, c3=-2.230731
2022-09-30 13:55:00, adc1=0.305262, adc3=0.284198, temp=40.420250, hum=50.936947, c1=-3.054672, c3=-2.228509
2022-09-30 13:55:01, adc1=0.305095, adc3=0.284031, temp=40.420250, hum=48.330585, c1=-3.047374, c3=-2.214724
2022-09-30 13:55:02, adc1=0.305095, adc3=0.284031, temp=40.410179, hum=39.644753, c1=-3.022786, c3=-2.167183
2022-09-30 13:55:03, adc1=0.304593, adc3=0.284031, temp=40.420250, hum=35.958004, c1=-3.015257, c3=-2.147312
2022-09-30 13:55:04, adc1=0.303758, adc3=0.283362, temp=40.420250, hum=32.637489, c1=-3.010422, c3=-2.131801
2022-09-30 13:55:05, adc1=0.302922, adc3=0.282693, temp=40.410179, hum=31.776842, c1=-3.011664, c3=-2.129506
2022-09-30 13:55:06, adc1=0.301584, adc3=0.281189, temp=40.420250, hum=29.896845, c1=-3.012690, c3=-2.124990
2022-09-30 13:55:07, adc1=0.300916, adc3=0.280520, temp=40.420250, hum=29.127754, c1=-3.013631, c3=-2.123335
2022-09-30 13:55:08, adc1=0.300080, adc3=0.279517, temp=40.410179, hum=28.438015, c1=-3.015414, c3=-2.123272
2022-09-30 13:55:09, adc1=0.300414, adc3=0.278848, temp=40.420250, hum=28.584509, c1=-3.014431, c3=-2.126564
2022-09-30 13:55:10, adc1=0.299913, adc3=0.278514, temp=40.410179, hum=28.724897, c1=-3.016710, c3=-2.128456
2022-09-30 13:55:11, adc1=0.299077, adc3=0.276174, temp=40.410179, hum=28.041262, c1=-3.018557, c3=-2.133444
2022-09-30 13:55:12, adc1=0.298909, adc3=0.276174, temp=40.410179, hum=27.662821, c1=-3.018409, c3=-2.131463
2022-09-30 13:55:13, adc1=0.297572, adc3=0.276006, temp=40.410179, hum=27.046328, c1=-3.022446, c3=-2.128855
2022-09-30 13:55:14, adc1=0.297572, adc3=0.275672, temp=40.410179, hum=26.869316, c1=-3.022073, c3=-2.129165
2022-09-30 13:55:15, adc1=0.297238, adc3=0.275171, temp=40.410179, hum=26.753342, c1=-3.023168, c3=-2.130413
2022-09-30 13:55:16, adc1=0.297071, adc3=0.274836, temp=40.400108, hum=26.771654, c1=-3.023849, c3=-2.131678
